Name,Type,Origin,Instagram
Byredo,,,https://www.instagram.com/officialbyredo/
Byron Parfums,Niche,,
C Thru,Niche,,
C. B. Woodworth & Sons Co.,Niche,,
C.O. Bigelow,Niche,,
Ca' d'Oro,Niche,,https://www.instagram.com/cadoro.dk/
Cacharel,Designer,,
Cacharel,Niche,,
Cacharel,,,https://www.instagram.com/cacharel/
CÆLESTE,Niche,,https://www.instagram.com/caeleste.parfums/
Caeleste Parfums,Niche,,
Caesars,Niche,,
Cafe,Niche,,
Cafe De Parfum,Niche,,
CaFleureBon Profiles in American Perfumery,Independent/Artisan,USA,
ÇaFleureBonOfficial,Niche,,https://www.instagram.com/cafleurebonofficial/
Calaj,Niche Brand,,
CALAJ Perfumes,Niche,,
California Perfume Company,Niche,,
Câline,Niche,,
Calvin Klein,Designer,,
Calvin Klein,Niche,,
Calvin Klein,,,https://www.instagram.com/calvinklein/
Calyx,Niche,,
Calyx Fragrance,Niche,,
Cannon,Niche,,
Capsule Parfumerie,Niche,,
Capsule Parfums,Niche,,https://www.instagram.com/capsuleparfums/
Captain Fawcett,Niche,,
Carbaline,Niche,,
Cardinal Scents,Niche,,
Carine Roitfeld,Niche,,
Carine Roitfeld Paris,Niche,,https://www.instagram.com/carineroitfeldparis/
carlklingParfums,Niche,,https://www.instagram.com/carlklingparfums/
Carner,Niche,,
Carner Barcelona,Niche,,https://www.instagram.com/carnerbarcelona/
Carner Barcelona 1,Niche,,
Carnival Wax,Niche,,
Carolina Herrera,Niche,,
Carolina Herrera,,,https://www.instagram.com/carolinaherrera/
Caron,Designer,,
Caron,Niche,,
Caron,,,https://www.instagram.com/caronparis/
Carried by Scent,Niche,,https://www.instagram.com/carriedbythescent/
Carriére Fréres,Niche,,
Carthusia,Niche,,
Cartier,Designer,,
Cartier,Niche,,
Cartier,,,https://www.instagram.com/cartier/
Carvansons Fragrance,Creator,,@carvansonsfragrance
Carven,Designer,,
Casamorati,Niche,,
Caswell-Massey,Designer,,
Caswell-Massey,Niche,,
Caudalie,Niche,,
Cayman Perfume Lab,Lab,,@caymanperfumelab
CB I Hate Perfume,Niche,,
Cécile Zarokian Parfumeur,Niche,,
Cécile Zarokian Parfumeur,Niche,Cécile Zarokian,@cecilezarokianparfumeur
Cedar Hill Homestead,Natural,,@cedarhillhomestead
Celine,Niche,,
Centauri Perfumes,Niche,,https://www.instagram.com/centauriperfumes/
Centrale Perfumeria Formentera,Niche,,https://www.instagram.com/centraleperfumeria/
cepages Parfums,Niche,,https://www.instagram.com/cepages.parfums/
Cerruti,Designer,,
Cerruti,Niche,,
Chabaud,Niche,,
Chabaud 1,Niche,,
Chamade,Perfume,,
Chambre52,Niche,,https://www.instagram.com/chambre52/
Chamois,Niche,,
Champs-Elysées,Perfume,,
Chance Eau Fraîche,Perfume,,
